NDID,grams_Pro_per_100g,grams_Fat_per_100g,grams_Cho_per_100g,Category_1,Category_2,Category_3,Serving_Size,Store,Package_Amount,Price_per_Package
ND01137,25.92592593,29.62962963,3.703703704,Meats,Luncheon_Meats,Salami,3 slices,PB,227,5.89
ND01455,30.95238095,1.785714286,3.720238095,Seafood,Finfish,Tuna,about .66 steak cooked (3oz),PB,340,6.99
ND01767,2.11,0.35,3.87,Vegetables,White_Brown_Black,Mushroom,1 cup diced = 86g,LK,453.592,4.99
ND01626,2.2,0.12,3.88,Vegetables,Green,Asparagus,"134g=1 cup / 12g=1 spear,  small (5"" long or less)",PB,454,3.49
ND01760,0.88,0.2,3.89,Vegetables,Red,Tomato,"149g=1 cup,  cherry tomatoes / 180g=1 cup, chopped or sliced",PB,454,2.49
ND00409,11.11111111,12.6984127,3.968253968,Dairy_and_Egg,Cheese,Ricotta,0.25 cup,PB,907,3.99
ND00549,10,0,4,Dairy_and_Egg,Yogurt,Greek,1 container ,PB,150,1.13
ND00586,10,0,4,Dairy_and_Egg,Yogurt,Plain,1 container,PB,150,1.67
ND01165,16,10,4,Meats,Luncheon_Meats,Turkey,4 slices,PB,454,5.99
ND01627,2.4,0.22,4.11,Vegetables,Green,Asparagus,"90g=.5 cup / 60g=4 spears,  (0.5"" base)",PB,454,3.49
ND01763,1.84,0.45,4.11,Vegetables,White_Brown_Black,Cauliflower,0.5 cup = 62g,PB,925,3.49
ND00339,25,33.33333333,4.166666667,Dairy_and_Egg,Cheese,Cheddar,1 stick,PB,283,3.99
ND00369,13.33333333,20,4.166666667,Dairy_and_Egg,Cheese,Feta,1 oz.,PB,227,4.99
ND00625,0,100,4.166666667,Fats_and_Oils,Margarine_and_Margarine_Substitutes,Shortening,1 tbsp,WD,567,3.89
ND00626,0,100,4.166666667,Fats_and_Oils,Margarine_and_Margarine_Substitutes,Shortening,1 tbsp,WD,1360,5.99
ND00628,0,100,4.166666667,Fats_and_Oils,Margarine_and_Margarine_Substitutes,Shortening,1 tbsp,WD,567,3.89
ND00627,0,100,4.166666667,Fats_and_Oils,Margarine_and_Margarine_Substitutes,Shortening,1 tbsp,SW,1360,4.98
ND00988,33.33333333,38.88888889,4.166666667,Meats,Bacon_and_Sausage,Pork_Bacon,2 pan fried slices,PB,454,6.99
ND00992,33.33333333,38.88888889,4.166666667,Meats,Bacon_and_Sausage,Pork_Bacon,2 skillet cooked slices,PB,454,6.99
ND01725,0,0,4.166666667,Vegetables,Processed,Sauerkraut,2 tbsp.,WD,397,1
ND00106,11.26760563,5.633802817,4.225352113,Baby_Foods,Baby_Meats,Stage_2,1 jar,PB,71,1.05
ND01002,17.85714286,8.035714286,4.241071429,Meats,Bacon_and_Sausage,Prepared_Sausage,4 links (56 g),PB,141,2.69
ND01634,2.127659574,0,4.255319149,Vegetables,Green,Broccoli,1 cup frozen,WD,340,2.19
ND00257,0.613496933,0,4.294478528,Beverages,Juice,Tomato Juice,8 fl oz.,PB,978,2.65
ND01630,2.150537634,0,4.301075269,Vegetables,Green,Broccoli,1 0.25 cup,SW,340,1.88
ND01757,0.826446281,0,4.338842975,Vegetables,Red,Tomato,0.5 cup,SW,411,0.72
ND01759,0.826446281,0,4.338842975,Vegetables,Red,Tomato,0.5 cup,PB,794,1.59
ND01478,3.27,0.73,4.35,Spices_and_Herbs,Seasonings,Null,"3g=1 tbsp, chopped / 1g=1 tsp, chopped",PB,28,1.99
ND01777,1.53,0.24,4.35,Vegetables,White_Brown_Black,Turnip,156g=1 cup / g=,PB,454,1.69
ND01766,0.833333333,0,4.375,Vegetables,White_Brown_Black,Mushroom,0.5 cup,PB,113,1.55
ND01792,0.833333333,0,4.375,Vegetables,Yellow,Squash,0.5 cup,SW,411,0.98
ND01793,0.833333333,0,4.375,Vegetables,Yellow,Squash,0.5 cup,WD,411,1.5
ND01363,0,0,4.409171076,Sauces_Soups_Condiments_Dressing,Sauces,Barbeque,2 Tbsp,PB,680,2.51
ND00351,10.61946903,4.424778761,4.424778761,Dairy_and_Egg,Cheese,Cottage_Cheese,0.5 cup,WM,680,2.88
ND01107,11.11111111,17.77777778,4.444444444,Meats,Luncheon_Meats,Hot_Dog,1 link,PB,454,5.79
ND01103,11.11111111,15.55555556,4.444444444,Meats,Luncheon_Meats,Hot_Dog,1 link,PB,454,3.29
ND00347,21.42857143,32.14285714,4.464285714,Dairy_and_Egg,Cheese,Colby-Jack,1 oz.,PB,227,3.69
ND00401,21.42857143,32.14285714,4.464285714,Dairy_and_Egg,Cheese,Other,0.25 cup,PB,227,3.89
ND01073,10.71428571,25,4.464285714,Meats,Luncheon_Meats,Bologna,1 slice,PB,453.592,2.59
ND01714,0,0,4.464285714,Vegetables,Processed,Pickles,About 1 pickle (1 oz),PB,710,2.99
ND01026,12.12121212,36.36363636,4.545454545,Meats,Bacon_and_Sausage,Prepared_Sausage,1 patty,PB,198,2.69
ND00953,17.07317073,25.6097561,4.573170732,Meats,Bacon_and_Sausage,Fresh_Sausage_Link,82 g (1 grilled link),PB,538,3.96
ND01111,12.24489796,26.53061224,4.591836735,Meats,Luncheon_Meats,Hot_Dog,1 frank,PB,340,6.29
ND01693,0.86,0.17,4.64,Vegetables,Multi,Peppers,1 tbsp = 9.3g,PB,453.592,2.49
ND00321,19.04761905,33.33333333,4.761904762,Dairy_and_Egg,Cheese,American,1 slice,PB,340,5.49
ND00322,19.04761905,33.33333333,4.761904762,Dairy_and_Egg,Cheese,American,1 slice,PB,340,3.5
ND00414,28.57142857,28.57142857,4.761904762,Dairy_and_Egg,Cheese,Swiss,1 slice,PB,170,2.99
ND01629,1.19047619,0,4.761904762,Vegetables,Green,Broccoli,3 oz (3 spears),PB,255,1.99
ND01738,16.66666667,4.761904762,4.761904762,Vegetables,Processed,Soy products,1 link,PB,340,3.99
ND00455,3.15,3.27,4.78,Dairy_and_Egg,Milk,Plain,244g=1 cup / 15g=1 tbsp,I,N/A,2.63
ND01018,16.07142857,30.35714286,4.910714286,Meats,Bacon_and_Sausage,Prepared_Sausage,2oz cooked portion,PB,453,4.49
ND01019,16.07142857,30.35714286,4.910714286,Meats,Bacon_and_Sausage,Prepared_Sausage,2 oz cooked,PB,453.6,4.49
ND01087,17.85714286,1.785714286,4.910714286,Meats,Luncheon_Meats,Ham,2 oz.,I,454,10.99
ND01089,17.85714286,1.785714286,4.910714286,Meats,Luncheon_Meats,Ham,2 oz.,I,454,10.99
ND01158,17.85714286,1.785714286,4.910714286,Meats,Luncheon_Meats,Turkey,56 g (2 oz),PB,8,4.99
ND01359,3.278688525,16.39344262,4.918032787,Sauces_Soups_Condiments_Dressing,Sauces,Alfredo,0.25 cup,PB,425,2.99
ND01390,1.639344262,0,4.918032787,Sauces_Soups_Condiments_Dressing,Sauces,Tomato,0.25 cup,PB,425,1.25
ND01033,10.41666667,9.375,4.947916667,Meats,Bacon_and_Sausage,Vienna_Sausage,48 g (3 sausages),PB,135,0.73
ND01094,16.98113208,2.830188679,4.952830189,Meats,Luncheon_Meats,Ham,5 slices,PB,170,3.49
ND01764,1.92,0.28,4.97,Vegetables,White_Brown_Black,Cauliflower,1 cup chopped = 107g,PB,925,3.49
ND00364,5,35,5,Dairy_and_Egg,Cheese,Cream_Cheese,2 tbsp,PB,227,2.35
ND00365,5,35,5,Dairy_and_Egg,Cheese,Cream_Cheese,2 tbsp,WD,227,2.39
ND01838,4.583333333,0.833333333,5,Dairy_and_Egg,Milk,Kefir,1 cup,SW,944,2.96
ND00454,4.583333333,0.833333333,5,Dairy_and_Egg,Milk,Kefir,1 cup,PB,473,2.59
ND00456,3.333333333,3.333333333,5,Dairy_and_Egg,Milk,Plain,1 cup,PB,1890,2.63
ND00457,3.333333333,3.333333333,5,Dairy_and_Egg,Milk,Plain,1 cup,SW,946,2.68
ND00566,10,0,5,Dairy_and_Egg,Yogurt,Greek,1 container,PB,150,1.25
ND01324,0,53.33333333,5,Sauces_Soups_Condiments_Dressing,Dressings,Blue_cheese,2 Tbsp,SW,473,2.36
ND01899,1.666666667,1.666666667,5,Sauces_Soups_Condiments_Dressing,Sauces,Other,0.25 cup,PB,340,2.09
ND01368,1.666666667,1.666666667,5,Sauces_Soups_Condiments_Dressing,Sauces,Other,0.25 cup,PB,298,1.39
ND01392,1.666666667,7.5,5,Sauces_Soups_Condiments_Dressing,Sauces,Tomato,0.5 cup,PB,680,6.19
ND01615,0.769230769,0,5,Vegetables,Green,Artichoke,3 pieces with liquid,PB,396,3.19
ND01775,0.71,0.08,5.06,Vegetables,White_Brown_Black,Turnip,"156g=1 cup, cubes / 230g=1 cup, mashed",PB,454,1.69
ND01039,10.16949153,25.42372881,5.084745763,Meats,Bacon_and_Sausage,Vienna_Sausage,4 links,PB,130,0.71
ND00587,3.555555556,3.555555556,5.111111111,Dairy_and_Egg,Yogurt,Plain,1 cup ,PB,907,3
ND00350,9.401709402,4.273504274,5.128205128,Dairy_and_Egg,Cheese,Cottage_Cheese,0.5 cup ,PB,453,2.85
ND00352,11.60714286,4.464285714,5.133928571,Dairy_and_Egg,Cheese,Cottage_Cheese,0.5 cup,PB,454,2.57
ND00436,12.6984127,7.936507937,5.158730159,Dairy_and_Egg,Egg,Fresh,1 egg,PB,756,3.05
ND00231,0,0,5.208333333,Beverages,Juice,Craberry Juice,1 cup,PB,1890,3.79
ND00320,21.05263158,31.57894737,5.263157895,Dairy_and_Egg,Cheese,American,1 slice,PB,454,5.69
ND00329,21.05263158,31.57894737,5.263157895,Dairy_and_Egg,Cheese,Cheddar,1 slice,PB,226,4.29
ND00957,13.63636364,30.3030303,5.303030303,Meats,Bacon_and_Sausage,Fresh_Sausage_Link,66g (1 link),PB,396,3.99
ND00584,7.079646018,9.734513274,5.309734513,Dairy_and_Egg,Yogurt,Greek,1 cup,PB,907,3.99
ND01384,0.884955752,6.194690265,5.309734513,Sauces_Soups_Condiments_Dressing,Sauces,Tomato,0.5 cup,PB,680,5.99
ND00551,8,0,5.333333333,Dairy_and_Egg,Yogurt,Greek,1 container,PB,150,1.2
ND00557,8,0,5.333333333,Dairy_and_Egg,Yogurt,Greek,1 container,SW,150,1
ND00562,8,0,5.333333333,Dairy_and_Egg,Yogurt,Greek,1 container,PB,150,1.2
ND01035,9.333333333,13.33333333,5.333333333,Meats,Bacon_and_Sausage,Vienna_Sausage,4 sausages,WD,130,0.89
ND00340,21.42857143,35.71428571,5.357142857,Dairy_and_Egg,Cheese,Cheddar,1 oz.(1/8 pkg),PB,226,4.29
ND00341,21.42857143,35.71428571,5.357142857,Dairy_and_Egg,Cheese,Cheddar,1 oz.(1/8 pkg),PB,226,4.29
ND00342,21.42857143,35.71428571,5.357142857,Dairy_and_Egg,Cheese,Cheddar,3 slices,PB,141,4.29
ND00948,10.71428571,28.57142857,5.357142857,Meats,Bacon_and_Sausage,Fresh_Sausage_Link,2 oz (56 g),PB,340,3.33
ND00950,12.5,26.78571429,5.357142857,Meats,Bacon_and_Sausage,Fresh_Sausage_Link,2 oz (56 g),PB,340,3.99
ND00949,10.71428571,28.57142857,5.357142857,Meats,Bacon_and_Sausage,Fresh_Sausage_Link,2 oz (56 g),PB,396,3.79
ND00951,10.71428571,28.57142857,5.357142857,Meats,Bacon_and_Sausage,Fresh_Sausage_Link,2 oz (56 g),PB,396,3.79
ND01076,10.71428571,28.57142857,5.357142857,Meats,Luncheon_Meats,Bologna,28 g (1 slice),PB,340.194,4.99
ND01157,17.85714286,1.785714286,5.357142857,Meats,Luncheon_Meats,Turkey,2 oz,PB,227,4.49
ND01149,16.07142857,1.785714286,5.357142857,Meats,Luncheon_Meats,Turkey,2 oz,PB,227,3.99
ND01758,0.826446281,0,5.371900826,Vegetables,Red,Tomato,0.5 cup (about 2 small tomatoes),PB,411,1.53
ND00232,0,0,5.416666667,Beverages,Juice,Craberry Juice,1 cup,PB,1890,3.79
ND00233,0,0,5.416666667,Beverages,Juice,Craberry Juice,1 cup,PB,1890,3.79
ND00256,0.416666667,0,5.416666667,Beverages,Juice,Orange Juice,240 mL,PB,1750,3.99
ND01699,0.833333333,0,5.416666667,Vegetables,Orange,Carrot,0.5 cup ,PB,411,0.8
ND01643,3.02,0.61,5.42,Vegetables,Green,Collard,1 cup = 36g,PB,454,2.99
ND01739,17.10526316,4.605263158,5.427631579,Vegetables,Processed,Soy products,1 link,PB,383,3.99
ND00104,11.26760563,3.521126761,5.457746479,Baby_Foods,Baby_Meats,Stage_2,1 jar,PB,71,1.05
ND01118,12,30,5.5,Meats,Luncheon_Meats,Hot_Dog,1 link,PB,397,5.99
ND01638,1.27,0.06,5.51,Vegetables,Green,Cabbage,0.5 cup shredded = 75g,PB,454,0.79
ND00105,9.85915493,5.633802817,5.633802817,Baby_Foods,Baby_Meats,Stage_2,1 jar,PB,71,1.05
ND01712,2.666666667,0,5.666666667,Vegetables,Other,Null,3/4 cup (75g),SW,454,1.44
ND01358,1.639344262,13.1147541,5.737704918,Sauces_Soups_Condiments_Dressing,Sauces,Alfredo,0.25 cup,PB,453,2.69
ND00166,0.884955752,0,5.752212389,Baby_Foods,Baby_Vegetables,Stage_2,1 jar,PB,113,0.61
ND00614,0,100,5.769230769,Fats_and_Oils,Fat_Other,Lard,1 tbsp,SW,454,1.98
ND01746,25,1.923076923,5.769230769,Vegetables,Processed,Soy products,4 slices,WD,156,3.49
ND01639,1.28,0.1,5.8,Vegetables,Green,Cabbage,1 cup chopped = 89g,PB,454,0.79
ND00947,14.28571429,8.928571429,5.803571429,Meats,Bacon_and_Sausage,Prepared_Sausage,2 oz (56 g),PB,368,3.79
ND01097,17.85714286,5.357142857,5.803571429,Meats,Luncheon_Meats,Ham,1 slice,PB,340,3.29
ND01308,3.74,3.34,5.83,Sauces_Soups_Condiments_Dressing,Condiments,Mustard,"5g=1 tsp,  or 1 packet / 249g=1 cup",PB,397,1.19
ND00460,0.416666667,1.041666667,5.833333333,Beverages,Milk_Substitutes,Almond Milk,1 cup,SW,946,1.97
ND01748,0.98,0.18,5.88,Vegetables,Purple,Eggplant,"82g=1 cup, cubes / 458g=1 eggplant, peeled (yield from 1-0.25 lb)",PB,454,1.99
ND01700,0.840336134,0,5.882352941,Vegetables,Orange,Carrot,0.5 cup,SW,425,1.68
ND00820,0,0,5.896226415,Fruits,Peaches,Other,1 cup,PB,424,2.67
ND01382,0,0,5.952380952,Sauces_Soups_Condiments_Dressing,Sauces,Tomato,0.25 cup,PB,227,0.89
ND00476,8,0,6,Dairy_and_Egg,Yogurt,Flavored,1 container ,PB,150,1.13
ND00482,8,0,6,Dairy_and_Egg,Yogurt,Flavored,1 container ,PB,150,1.13
ND00550,8,0,6,Dairy_and_Egg,Yogurt,Greek,1 container ,PB,150,1.2
ND00552,8,0,6,Dairy_and_Egg,Yogurt,Greek,1 container ,PB,150,1.2
ND00553,8,0,6,Dairy_and_Egg,Yogurt,Greek,1 container,SW,150,1
ND00554,8,0,6,Dairy_and_Egg,Yogurt,Greek,1 container,SW,150,1
ND00556,8,0,6,Dairy_and_Egg,Yogurt,Greek,1 container,PB,150,1.2
ND00558,8,0,6,Dairy_and_Egg,Yogurt,Greek,1 container,PB,150,1.2
ND00560,8,0,6,Dairy_and_Egg,Yogurt,Greek,1 container,SW,150,1
ND00561,8,0,6,Dairy_and_Egg,Yogurt,Greek,1 container,SW,150,1.18
ND00563,8,0,6,Dairy_and_Egg,Yogurt,Greek,1 container ,PB,150,1.2
ND00564,8,0,6,Dairy_and_Egg,Yogurt,Greek,1 container ,PB,150,1.2
ND01631,2.197802198,0,6.043956044,Vegetables,Green,Broccoli,1 0.25 cup,WD,357.2,2.79
ND01694,0.99,0.3,6.085,Vegetables,Multi,Peppers,1 cup = 149 g chopped,PB,453.592,3.99
ND00960,21.56862745,2.941176471,6.12745098,Meats,Bacon_and_Sausage,Pork_Bacon,3 slices,PB,170,4.59
ND01778,2.247191011,0,6.179775281,Vegetables,White_Brown_Black,Turnip,1 cup,PB,425,1.89
ND00245,0,0,6.25,Beverages,Juice,Mixed Juice,8 fl oz,PB,3780,2.39
ND00994,25,41.66666667,6.25,Meats,Bacon_and_Sausage,Pork_Bacon,1 fried slice,PB,454,6.99
ND01632,2.298850575,0,6.32183908,Vegetables,Green,Broccoli,1 cup,SW,340,0.98
ND01684,2.298850575,0,6.32183908,Vegetables,Green,Spinach,1 cup ,WD,453,2
ND01476,2.97,0.79,6.33,Spices_and_Herbs,Seasonings,Null,"60g=1 cup, chopped / 3.8g=1 tbsp",I,1,4.48
ND00107,9.85915493,8.450704225,6.338028169,Baby_Foods,Baby_Meats,Stage_2,1 jar,PB,71,1.05
ND01776,0.9,0.1,6.43,Vegetables,White_Brown_Black,Turnip,"130g=1 cup, cubes / 183g=1 large",PB,454,1.69
ND01389,1.612903226,0,6.451612903,Sauces_Soups_Condiments_Dressing,Sauces,Tomato,0.25 cup,PB,425,1.13
ND01773,0.833333333,0,6.458333333,Vegetables,White_Brown_Black,Rutabaga,0.5 cup,PB,411,1.19
ND01790,0.66,0.26,6.46,Vegetables,Yellow,Squash,155g=1 cup / g=,PB,454,1.29
ND00790,0.4,0.29,6.48,Fruits,Citrus,Lemon,244g=1 cup / 15g=1 tbsp,I,N/A,2.49
ND01707,1,0.1,6.5,Vegetables,Orange,Pumpkin,"116g=1 cup,  (1"" cubes) / g=",PB,454,1.29
ND01756,0.81300813,0,6.504065041,Vegetables,Red,Tomato,0.5 cup,PB,411,0.95
ND01391,1.639344262,0,6.557377049,Sauces_Soups_Condiments_Dressing,Sauces,Tomato,0.25 cup,SW,227,0.33
ND01105,10.52631579,15.78947368,6.578947368,Meats,Luncheon_Meats,Hot_Dog,1 link,PB,454,3.79
ND01683,2.409638554,0,6.626506024,Vegetables,Green,Spinach,.33 cup,PB ,283,1.39
ND01686,2.409638554,0,6.626506024,Vegetables,Green,Spinach,.33 cup,SW,283,1.32
ND00165,0,0,6.637168142,Baby_Foods,Baby_Vegetables,Stage_2,1 jar,PB,113,0.61
ND01635,2.82,0.37,6.64,Vegetables,Green,Broccoli,1 cup chopped = 91g,LK,453.592,2.49
ND00169,1.666666667,0,6.666666667,Baby_Foods,Baby_Vegetables,Stage_2,0.25 cup,PB,120,1.09
ND00361,3.333333333,30,6.666666667,Dairy_and_Egg,Cheese,Cream_Cheese,2 tbsp,SW,227,2.36
ND00362,3.333333333,30,6.666666667,Dairy_and_Egg,Cheese,Cream_Cheese,2 tbsp,PB,227,2.39
ND00649,0,93.33333333,6.666666667,Fats_and_Oils,Oil,Canola,1 tbsp.,PB,1420,3.95
ND00652,0,93.33333333,6.666666667,Fats_and_Oils,Oil,Coconut,1 tbsp,PB,858,25.99
ND00699,0,93.33333333,6.666666667,Fats_and_Oils,Oil,Sesame,1 tbsp,PB,185,4.19
ND00707,0,93.33333333,6.666666667,Fats_and_Oils,Oil,Vegetable,1 tbsp,PB,1420,3.35
ND00975,20,40,6.666666667,Meats,Bacon_and_Sausage,Pork_Bacon,2 pan fried slices,PB,340.5,6.69
ND00978,26.66666667,40,6.666666667,Meats,Bacon_and_Sausage,Pork_Bacon,3 slices,PB,103,6.19
ND01333,3.333333333,36.66666667,6.666666667,Sauces_Soups_Condiments_Dressing,Dressings,Italian,2 Tbsp,PB,473,3.53
ND01337,0,16.66666667,6.666666667,Sauces_Soups_Condiments_Dressing,Dressings,Other,2 Tbsp,PB,473,3.53
ND01348,3.333333333,36.66666667,6.666666667,Sauces_Soups_Condiments_Dressing,Dressings,Ranch,2 Tbsp,SW,709,3.88
ND01346,0,50,6.666666667,Sauces_Soups_Condiments_Dressing,Dressings,Ranch,2 Tbsp,PB,473,3.53
ND01360,1.666666667,5,6.666666667,Sauces_Soups_Condiments_Dressing,Sauces,Alfredo,0.25 cup,PB,425,2.87
ND01408,0.833333333,5,6.666666667,Sauces_Soups_Condiments_Dressing,Soups,Null,0.5 cup,PB,298,1.43
ND01870,0,10,6.666666667,Supplement,Omegas,Null,1 softgel,I,45,21.37
ND01691,0,16.66666667,6.666666667,Vegetables,Multi,Olive,4 olives,PB,170,2.09
ND00792,0.25,0.23,6.69,Fruits,Citrus,Lime,246g=1 cup / 30.8g=1 fl oz,I,N/A,2.49
ND01088,16.07142857,1.785714286,6.696428571,Meats,Luncheon_Meats,Ham,2 oz.,I,454,9.89
ND01159,16.07142857,1.785714286,6.696428571,Meats,Luncheon_Meats,Turkey,2 oz,PB,454,5.79
ND00974,30.76923077,34.61538462,6.730769231,Meats,Bacon_and_Sausage,Pork_Bacon,2 fried slices,PB,454,6.49
ND01386,1.587301587,1.587301587,6.746031746,Sauces_Soups_Condiments_Dressing,Sauces,Tomato,0.25 cup ,SW,397,1.14
ND00167,0.884955752,0,6.85840708,Baby_Foods,Baby_Vegetables,Stage_2,1 jar,WD,113,0.64
ND00168,0.884955752,0,6.85840708,Baby_Foods,Baby_Vegetables,Stage_2,1 jar,WD,113,0.64
ND01407,0.833333333,5.833333333,6.875,Sauces_Soups_Condiments_Dressing,Soups,Null,0.5 cup,PB,298,1.75
ND00791,0.35,0.24,6.9,Fruits,Citrus,Lemon,244g=1 cup / 30.5g=1 fl oz,I,N/A,2.49
ND01789,0.64,0.57,6.91,Vegetables,Yellow,Squash,"101g=1 cup, cubes / g=",PB,454,1.29
ND00415,27.77777778,27.77777778,6.944444444,Dairy_and_Egg,Cheese,Swiss,1 slice,PB,198,3.49
ND01658,1.83,0.22,6.97,Vegetables,Green,Green_Beans,1 cup = 100 g,PB,454,1.69
ND01744,21.12676056,6.338028169,7.042253521,Vegetables,Processed,Soy products,1 Burger,PB,283,3.69
ND00585,4.405286344,0,7.04845815,Dairy_and_Egg,Yogurt,Plain,1 cup,PB,907,3.69
ND00336,25,32.14285714,7.142857143,Dairy_and_Egg,Cheese,Cheddar,0.25 cup,PB,226,4.49
ND00381,25,17.85714286,7.142857143,Dairy_and_Egg,Cheese,Mozzarella,0.25 cup,PB,226,4.49
ND00387,23.80952381,28.57142857,7.142857143,Dairy_and_Egg,Cheese,Muenster,1 Slice,PB,226,3.49
ND00392,21.42857143,16.07142857,7.142857143,Dairy_and_Egg,Cheese,Other,1 oz.,PB,680,4.19
ND01096,17.85714286,3.571428571,7.142857143,Meats,Luncheon_Meats,Ham,1 slice,WD,283,3.49
ND01147,17.85714286,0,7.142857143,Meats,Luncheon_Meats,Turkey,1 slice (28 g),WM,397,4.98
ND01146,17.85714286,0,7.142857143,Meats,Luncheon_Meats,Turkey,1 slice (28 g),SW,794,7.98
ND01166,17.85714286,4.761904762,7.142857143,Meats,Pork,Null,3oz,PB,340,4.69
ND01633,2.38,0.41,7.18,Vegetables,Green,Broccoli,0.5 cup chopped = 78g,LK,453.592,2.49
ND00717,15.3,67.7,7.2,Formulas,Fat,Null,100 g of powder,I,1800,174
ND01709,0.8,0,7.2,Vegetables,Other,Null,0.5 cup (125g),PB,411,1.35
ND00821,0,0,7.231404959,Fruits,Peaches,Other,0.5 cup,PB,411,1.59
ND00360,6.451612903,22.58064516,7.258064516,Dairy_and_Egg,Cheese,Cream_Cheese,2 tbsp,PB,340,3.99
ND01903,0.81300813,0,7.317073171,Vegetables,Red,Beet,0.5 cup,PB,411,1.43
ND01749,0.81300813,0,7.317073171,Vegetables,Red,Beet,0.5 cup,PB,234,0.95
ND01474,1.83,0.19,7.34,Spices_and_Herbs,Seasonings,Null,"100g=1 cup, chopped / 6g=1 tbsp, chopped",PB,7.08,0.75
ND01640,1.43,0.16,7.37,Vegetables,Green,Cabbage,1 cup chopped = 89g,LK,453.592,0.99
ND00155,1.408450704,0,7.394366197,Baby_Foods,Baby_Vegetables,Stage_1,1 pack,WM,142,0.98
ND01711,1.612903226,0,7.459677419,Vegetables,Other,Null,0.5 cup,PB,241,0.95
ND00243,0,0,7.5,Beverages,Juice,Mixed Juice,8 OZ,WD,1890,2.89
ND00246,0,0,7.5,Beverages,Juice,Mixed Juice,8 fl oz,PB,1890,2.69
ND00244,0,0,7.5,Beverages,Juice,Mixed Juice,8 fl oz,PB,1890,2.69
ND00418,0,30,7.5,Dairy_and_Egg,Cream,Null,1 Tbsp,PB,473,2.89
ND01032,13.33333333,16.66666667,7.5,Meats,Bacon_and_Sausage,Turkey_Bacon,1 slice,PB,340,3.79
ND01405,1.666666667,1.666666667,7.5,Sauces_Soups_Condiments_Dressing,Soups,Null,0.5 cup,SW,298,1.34
ND01616,2.5,0,7.5,Vegetables,Green,Artichoke,5,PB,240,2.29
ND01750,0.833333333,0,7.5,Vegetables,Red,Beet,0.5 cup,PB,425,1.25
ND01837,3,2,7.52,Formulas,Liquid_Nutrition,Null,1 carton,I,250,3.12
ND01416,8.474576271,4.661016949,7.521186441,Sauces_Soups_Condiments_Dressing,Soups,Null,1 cup,PB,425,2.69
ND00814,0.61,0.15,7.55,Fruits,Melons,Null,"154g=1 cup, balls / 152g=1 cup, diced",I,N/A,3.99
ND00817,1.78,1.26,7.56,Fruits,Melons,Null,"233g=1 cup / 209g=1 fruit,  (4-.66"" long x 2-3/4"" dia)",I,N/A,2.5
ND00346,21.73913043,30.43478261,7.608695652,Dairy_and_Egg,Cheese,Colby-Jack,1 slice,PB,227,4.39
ND01110,10.97560976,25.6097561,7.62195122,Meats,Luncheon_Meats,Hot_Dog,1 frank,PB,410,5.79
ND01628,1.176470588,0,7.647058824,Vegetables,Green,Broccoli,1 cup,PB,680,3.49
ND00785,0.67,0.3,7.68,Fruits,Berries,Strawberry,"152g=1 cup,  halves / 232g=1 cup, pureed",I,N/A,1.98
ND01782,1.6,1.2,7.7,Vegetables,Yellow,Corn,0.5 cup,PB,432,0.8
ND01670,1.19047619,0,7.738095238,Vegetables,Green,Okra,3/4 cup,WD,907,3.49
ND01292,0,0,7.8125,Sauces_Soups_Condiments_Dressing,Condiments,Ketchup,1 Tbsp,PB,369,2.69
ND01745,23.4375,9.375,7.8125,Vegetables,Processed,Soy products,1 burger,PB,256,4.49
ND00724,1.763693315,3.597934362,7.830798318,Formulas,Liquid_Nutrition,Null,5 fl oz,SW,366,17.92
ND01659,1.89,0.28,7.88,Vegetables,Green,Green_Beans,1 cup = 125g,PB,454,1.69
ND01411,1.666666667,5,7.916666667,Sauces_Soups_Condiments_Dressing,Soups,Null,0.5 cup,PB,298,1.75
ND01387,1.587301587,1.587301587,7.936507937,Sauces_Soups_Condiments_Dressing,Sauces,Tomato,0.25 cup,PB,396,1.39
ND00173,0.884955752,0,7.96460177,Baby_Foods,Baby_Vegetables,Stage_2,1 jar,PB,113,1.19
ND00171,0.884955752,0,7.96460177,Baby_Foods,Baby_Vegetables,Stage_2,1 pack,WD,226,1.11
ND00174,0.884955752,0,7.96460177,Baby_Foods,Baby_Vegetables,Stage_2,1 jar,WD,113,0.69
ND00170,0.884955752,0,7.96460177,Baby_Foods,Baby_Vegetables,Stage_2,1 pack,PB,226,1.07
ND00175,0.884955752,0,7.96460177,Baby_Foods,Baby_Vegetables,Stage_2,1 jar,PB,113,0.63
ND00179,0.884955752,0,7.96460177,Baby_Foods,Baby_Vegetables,Stage_2,1 pack,PB,226,1.07
ND01673,3.2,0.4,8,Vegetables,Green,Peas,0.5 cup,PB,425,1.25
ND01741,18,4,8,Vegetables,Processed,Soy products,0.5 cup,WD,340,4.79
ND01656,1.234567901,0,8.024691358,Vegetables,Green,Green_Beans,.66 cup (81g),SW,340,0.98
ND01657,1.234567901,0,8.024691358,Vegetables,Green,Green_Beans,.66 cup,PB,425,1.69
ND00719,14.4,69.1,8.1,Formulas,Fat,Null,100 g of powder,I,1800,178
ND01705,0.81300813,0,8.130081301,Vegetables,Orange,Pumpkin,0.5 cup,PB,425,2.19
ND00815,0.84,0.19,8.16,Fruits,Melons,Null,"177g=1 cup, balls / 160g=1 cup, cubes",I,100,1
